,Description,Url
0,Candid V gel(Clotrimazole 2%),https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Candid-V-gelClotrimazole-2-342x390.jpg
1,Candid V1 Vaginal Pessary,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5974-342x390.jpg
2,Clofain 10 tablets (Diclofenac+Paracetamol),https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Clofain-10-tablets-DiclofenacParacetamol-342x390.jpg
3,Cow&Gate 1 400 grams,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5985-1-342x390.jpg
4,Cow&Gate 2 400 grams,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5970-342x390.jpg
5,Cow&Gate 3 400 grams,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5987-342x390.jpg
6,Cutacnyl 5% cream 40 gr,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Cutacnyl-5-cream-40-gr-342x390.jpg
7,Dazole (Clotrimazole 1% ) dermal Cream 20 gr,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Dazole-Clotrimazole-1-dermal-Cream-20-gr-2-342x390.jpg
8,Elmex junior toothpaste  (2-6years) Tube 50 ml,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Elmex-junior-toothpaste-2-6years-Tube-50-ml-1-342x390.jpg
9,First Aid Kit Medium,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/12/First-Aid-Kit-Small-342x390.jpg
10,First Aid Kit Small,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/12/First-Aid-Kit-Medium-342x390.jpg
11,France lait 2 (6-12 Months) 900 grams,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5972-342x390.jpg
12,Hot water bottle(Bouillotte 1L),https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Bouillotte-1L-342x390.jpg
13,Infacol Baby Colic Relief Drops 85ml,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Infacol-Baby-Colic-Relief-Drops-85ml-342x390.jpg
14,Kipel (Montelukast) 5mg 30 tabs,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/IMG_5934-342x390.jpg
15,Libido lady capsules B/30,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Libido-lady-capsules-B_30-342x390.jpg
16,Meru Blue Bar Soap-500g,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/07/Meru-Blue-Bar-Soap-600g-342x390.jpg
17,Meru White Bar Soap-500g,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/07/Kasha35-342x390.jpg
18,Moni Baby Diapers S2 (3-6kg) 44Pieces,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/09/Moni-Baby-Diapers-S2-3-6kg-44Pieces-342x390.jpg
19,Moni Baby Diapers S2(3-6kg) 76 Pieces,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2021/09/Moni-Baby-Diapers-S23-6kg-76-Pieces-342x390.jpg
20,Nuby Biberon Col Standard 0M 240ml,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Nuby-Biberon-Col-Standard-0M-240ml-342x390.jpg
21,Nuby Biberon en verre 3M+ 240ml,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Nuby-Biberon-en-verre-3M-240ml-342x390.jpg
22,Parodontax Gum Health toothpaste Tube 75 ml,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Parodontax-Gum-Health-toothpaste-Tube-75-ml--342x390.jpg
23,Perdolan Bébés 100mg 12 Suppositories,https://kasha-assets-production.s3.amazonaws.com/rw/uploads/2022/02/Perdolan-Bebes-100mg-12-Suppositories-342x390.jpg
